,link,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
8490,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2018-759422458,vwvolkswagen,36750,pickup,saveiro,manual,2018,34800,1.6,flex,hidráulica,branco,não,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8491,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2018-completa-735564071,vwvolkswagen,40000,pickup,saveiro,manual,2018,48000,1.6,flex,hidráulica,branco,não,saveiro robust 1.6 total flex 8v cd,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8492,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2018-completa-754871373,vwvolkswagen,36750,pickup,saveiro,manual,2018,34550,1.6,flex,hidráulica,branco,não,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8493,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2019-716809773,vwvolkswagen,41500,0.0,saveiro,manual,2019,40000,0.0,flex,0.0,branco,0.0,saveiro robust 1.6 total flex 8v,0.0,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som",0
8494,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2019-749301171,vwvolkswagen,41900,pickup,saveiro,manual,2019,67000,0.0,flex,hidráulica,branco,0.0,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, c mera de ré",0
8495,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2019-752112585,vwvolkswagen,39500,pickup,saveiro,manual,2019,99608,1.6,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som",0
8496,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2019-753608993,vwvolkswagen,38500,pickup,saveiro,manual,2019,65000,1.6,flex,hidráulica,branco,0.0,saveiro robust 1.6 total flex 8v,0.0,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, som",0
8497,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2019-757255063,vwvolkswagen,43900,pickup,saveiro,manual,2019,32700,1.6,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v,2 portas,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica",0
8498,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-2019-759961389,vwvolkswagen,41900,pickup,saveiro,manual,2019,63780,1.6,flex,0.0,preto,não,saveiro robust 1.6 total flex 8v,2 portas,0.0,"air bag, ar condicionado, direção hidráulica, som",0
8499,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-5mil-abaixo-da-fipe-750964637,vwvolkswagen,30200,vanutilitário,saveiro,manual,2017,117000,1.6,flex,hidráulica,prata,sim,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"air bag, som",0
8500,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-694177869,vwvolkswagen,36900,vanutilitário,saveiro,manual,2018,55000,0.0,flex,hidráulica,branco,não,saveiro robust 1.6 total flex 8v,2 portas,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado",0
8501,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-739120564,vwvolkswagen,40000,vanutilitário,saveiro,manual,2019,40000,1.6,flex,hidráulica,branco,não,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8502,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-739571119,vwvolkswagen,42000,pickup,saveiro,manual,2019,33000,1.6,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som",0
8503,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-745771163,vwvolkswagen,35500,vanutilitário,saveiro,0.0,2017,84000,0.0,flex,hidráulica,branco,não,saveiro robust 1.6 total flex 8v,0.0,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som, sensor de ré",0
8504,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-752067538,vwvolkswagen,35000,pickup,saveiro,manual,2018,79000,1.6,flex,hidráulica,branco,não,saveiro robust 1.6 total flex 8v,0.0,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8505,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-757327075,vwvolkswagen,32900,pickup,saveiro,manual,2017,59000,0.0,flex,hidráulica,prata,0.0,saveiro robust 1.6 total flex 8v,2 portas,0.0,0.0,0
8506,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-cabine-dupla-2019-759838074,vwvolkswagen,53000,pickup,saveiro,manual,2019,60000,0.0,flex,hidráulica,branco,não,saveiro robust 1.6 total flex 8v cd,2 portas,0.0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som, c mera de ré",0
8507,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-cabine-dupla-761547137,vwvolkswagen,51900,vanutilitário,saveiro,manual,2019,47000,1.6,flex,hidráulica,branco,não,saveiro robust 1.6 total flex 8v cd,0.0,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
8508,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/link_saveiro-robust-completa-672996340,vwvolkswagen,37900,vanutilitário,saveiro,manual,2018,40000,1.6,flex,hidráulica,branco,sim,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, ar condicionado, direção hidráulica, alarme, som",0
